panel_key,panel_title,parameter_name,parameter_label,scenario,parameter_value,horizon,discounted_cumulative_defender_utility,discounted_cumulative_attacker_utility,undiscounted_cumulative_defender_utility,mean_attack_probability,terminal_public_belief_mean
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,10.0,10,-25.625655580017312,12.314592466775588,-47.86111111111112,0.8930555555555557,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,10.0,11,-26.56791835412583,12.76740359675925,-52.64722222222223,0.8930555555555557,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,10.0,12,-27.36884171211807,13.152293057245362,-57.433333333333344,0.8930555555555557,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,10.0,13,-28.049626566411472,13.479449098658558,-62.219444444444456,0.8930555555555557,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,10.0,14,-28.628293692560856,13.757531733859773,-67.00555555555557,0.8930555555555557,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,10.0,15,-29.120160749787836,13.993901973780808,-71.79166666666669,0.8930555555555557,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,12.0,1,-6.037500000000001,2.3000000000000007,-6.037500000000001,0.90375,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,12.0,2,-11.169375000000002,4.255000000000001,-12.075000000000003,0.90375,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,12.0,3,-15.531468750000002,5.916750000000001,-18.112500000000004,0.90375,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,12.0,4,-19.239248437500002,7.329237500000001,-24.150000000000006,0.90375,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,12.0,5,-22.390861171875002,8.529851875000002,-30.187500000000007,0.9037500000000002,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,12.0,6,-25.069731996093754,9.550374093750003,-36.22500000000001,0.9037500000000002,0.6500003500000001
defender_loss_scenario_a,真实系统受攻击损失 l_d（场景 A）,defender_loss,真实系统受攻击损失 l_d,scenario_a,12.0,7,-27.34677219667969,10.417817979687504,-42.26250000000001,0.9037500000000003,0.6500003500000001
